id,timestamp,model,prompt_version,dataset,n_samples,n_stages,status,accuracy,f1_macro,maybe_recall,full_metrics,config,total_tokens,notes,tags,progress
medqa_v3_skeptic_strict_20260318_003302_728197,2026-03-18T00:43:20.314456,llama-3.3-70b-versatile,v3_skeptic_strict,medqa,100,3,completed,0.5,0.6521,,"{""accuracy"": 0.5, ""f1_macro"": 0.6521, ""per_class"": {""A"": {""precision"": 0.875, ""recall"": 0.5, ""f1"": 0.6364, ""support"": 28}, ""B"": {""precision"": 0.9167, ""recall"": 0.5789, ""f1"": 0.7097, ""support"": 19}, ""C"": {""precision"": 0.9333, ""recall"": 0.4375, ""f1"": 0.5957, ""support"": 32}, ""D"": {""precision"": 0.9167, ""recall"": 0.5238, ""f1"": 0.6667, ""support"": 21}}, ""confusion_matrix"": {""B"": {""B"": 11, ""unknown"": 7, ""A"": 1}, ""C"": {""C"": 14, ""unknown"": 17, ""D"": 1}, ""D"": {""unknown"": 7, ""D"": 11, ""A"": 1, ""B"": 1, ""C"": 1}, ""A"": {""unknown"": 14, ""A"": 14}}, ""total"": 100, ""correct"": 50}","{""experiment_id"": ""medqa_v3_skeptic_strict_20260318_003302_728197"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""medqa"", ""n_samples"": 100, ""n_stages"": 3}",374938,,"[""phase4"", ""cross-dataset""]",
medqa_v1_baseline_20260318_003302_715761,2026-03-18T00:34:01.654556,llama-3.3-70b-versatile,v1_baseline,medqa,100,1,completed,0.78,0.77,,"{""accuracy"": 0.78, ""f1_macro"": 0.77, ""per_class"": {""A"": {""precision"": 0.8, ""recall"": 0.8571, ""f1"": 0.8276, ""support"": 28}, ""B"": {""precision"": 0.6364, ""recall"": 0.7368, ""f1"": 0.6829, ""support"": 19}, ""C"": {""precision"": 0.8621, ""recall"": 0.7812, ""f1"": 0.8197, ""support"": 32}, ""D"": {""precision"": 0.7895, ""recall"": 0.7143, ""f1"": 0.75, ""support"": 21}}, ""confusion_matrix"": {""B"": {""B"": 14, ""D"": 1, ""A"": 3, ""C"": 1}, ""C"": {""C"": 25, ""B"": 3, ""A"": 1, ""D"": 3}, ""D"": {""D"": 15, ""A"": 2, ""B"": 3, ""C"": 1}, ""A"": {""A"": 24, ""B"": 2, ""C"": 2}}, ""total"": 100, ""correct"": 78}","{""experiment_id"": ""medqa_v1_baseline_20260318_003302_715761"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v1_baseline"", ""dataset"": ""medqa"", ""n_samples"": 100, ""n_stages"": 1}",29583,,"[""phase4"", ""cross-dataset""]",
mmlu_v2_structured_20260317_233001_804634,2026-03-17T23:51:26.244859,llama-3.3-70b-versatile,v2_structured,mmlu,100,3,completed,0.94,0.9406,,"{""accuracy"": 0.94, ""f1_macro"": 0.9406, ""per_class"": {""A"": {""precision"": 0.9444, ""recall"": 0.9444, ""f1"": 0.9444, ""support"": 18}, ""B"": {""precision"": 0.9231, ""recall"": 0.96, ""f1"": 0.9412, ""support"": 25}, ""C"": {""precision"": 0.9231, ""recall"": 0.96, ""f1"": 0.9412, ""support"": 25}, ""D"": {""precision"": 0.9667, ""recall"": 0.9062, ""f1"": 0.9355, ""support"": 32}}, ""confusion_matrix"": {""B"": {""B"": 24, ""A"": 1}, ""C"": {""C"": 24, ""B"": 1}, ""A"": {""A"": 17, ""D"": 1}, ""D"": {""D"": 29, ""C"": 2, ""B"": 1}}, ""total"": 100, ""correct"": 94}","{""experiment_id"": ""mmlu_v2_structured_20260317_233001_804634"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v2_structured"", ""dataset"": ""mmlu"", ""n_samples"": 100, ""n_stages"": 3}",269724,,"[""phase4"", ""cross-dataset""]",
mmlu_v1_cot_20260317_233001_788567,2026-03-17T23:43:27.131718,llama-3.3-70b-versatile,v1_cot,mmlu,100,1,completed,0.9,0.8991,,"{""accuracy"": 0.9, ""f1_macro"": 0.8991, ""per_class"": {""A"": {""precision"": 0.8, ""recall"": 0.8889, ""f1"": 0.8421, ""support"": 18}, ""B"": {""precision"": 0.88, ""recall"": 0.88, ""f1"": 0.88, ""support"": 25}, ""C"": {""precision"": 0.9583, ""recall"": 0.92, ""f1"": 0.9388, ""support"": 25}, ""D"": {""precision"": 0.9667, ""recall"": 0.9062, ""f1"": 0.9355, ""support"": 32}}, ""confusion_matrix"": {""B"": {""B"": 22, ""A"": 3}, ""C"": {""C"": 23, ""B"": 1, ""A"": 1}, ""A"": {""unknown"": 1, ""A"": 16, ""D"": 1}, ""D"": {""D"": 29, ""B"": 2, ""C"": 1}}, ""total"": 100, ""correct"": 90}","{""experiment_id"": ""mmlu_v1_cot_20260317_233001_788567"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v1_cot"", ""dataset"": ""mmlu"", ""n_samples"": 100, ""n_stages"": 1}",53982,,"[""phase4"", ""cross-dataset""]",
mmlu_v3_skeptic_strict_20260317_233001_772569,2026-03-17T23:40:29.009079,llama-3.3-70b-versatile,v3_skeptic_strict,mmlu,100,3,completed,0.64,0.7588,,"{""accuracy"": 0.64, ""f1_macro"": 0.7588, ""per_class"": {""A"": {""precision"": 1.0, ""recall"": 0.5, ""f1"": 0.6667, ""support"": 18}, ""B"": {""precision"": 0.95, ""recall"": 0.76, ""f1"": 0.8444, ""support"": 25}, ""C"": {""precision"": 0.9375, ""recall"": 0.6, ""f1"": 0.7317, ""support"": 25}, ""D"": {""precision"": 1.0, ""recall"": 0.6562, ""f1"": 0.7925, ""support"": 32}}, ""confusion_matrix"": {""B"": {""B"": 19, ""unknown"": 6}, ""C"": {""C"": 15, ""unknown"": 9, ""B"": 1}, ""A"": {""unknown"": 9, ""A"": 9}, ""D"": {""D"": 21, ""unknown"": 10, ""C"": 1}}, ""total"": 100, ""correct"": 64}","{""experiment_id"": ""mmlu_v3_skeptic_strict_20260317_233001_772569"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""mmlu"", ""n_samples"": 100, ""n_stages"": 3}",317649,,"[""phase4"", ""cross-dataset""]",
mmlu_v1_baseline_20260317_233001_758967,2026-03-17T23:31:15.645139,llama-3.3-70b-versatile,v1_baseline,mmlu,100,1,completed,0.88,0.8809,,"{""accuracy"": 0.88, ""f1_macro"": 0.8809, ""per_class"": {""A"": {""precision"": 0.8889, ""recall"": 0.8889, ""f1"": 0.8889, ""support"": 18}, ""B"": {""precision"": 0.8276, ""recall"": 0.96, ""f1"": 0.8889, ""support"": 25}, ""C"": {""precision"": 0.913, ""recall"": 0.84, ""f1"": 0.875, ""support"": 25}, ""D"": {""precision"": 0.9, ""recall"": 0.8438, ""f1"": 0.871, ""support"": 32}}, ""confusion_matrix"": {""B"": {""B"": 24, ""D"": 1}, ""C"": {""C"": 21, ""B"": 2, ""A"": 2}, ""A"": {""A"": 16, ""D"": 2}, ""D"": {""D"": 27, ""C"": 2, ""B"": 3}}, ""total"": 100, ""correct"": 88}","{""experiment_id"": ""mmlu_v1_baseline_20260317_233001_758967"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v1_baseline"", ""dataset"": ""mmlu"", ""n_samples"": 100, ""n_stages"": 1}",19312,,"[""phase4"", ""cross-dataset""]",
pubmedqa_v3_skeptic_strict_20260317_230113_180022,2026-03-17T23:29:13.527746,qwen/qwen3-32b,v3_skeptic_strict,pubmedqa,100,3,completed,0.31,0.3143,0.8,"{""accuracy"": 0.31, ""f1_macro"": 0.3143, ""per_class"": {""yes"": {""precision"": 0.8, ""recall"": 0.1778, ""f1"": 0.2909, ""support"": 45}, ""no"": {""precision"": 0.5789, ""recall"": 0.275, ""f1"": 0.3729, ""support"": 40}, ""maybe"": {""precision"": 0.169, ""recall"": 0.8, ""f1"": 0.2791, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""no"": 6, ""maybe"": 31, ""yes"": 8}, ""no"": {""no"": 11, ""maybe"": 28, ""yes"": 1}, ""maybe"": {""no"": 2, ""maybe"": 12, ""yes"": 1}}, ""total"": 100, ""correct"": 31, ""maybe_recall"": 0.8}","{""experiment_id"": ""pubmedqa_v3_skeptic_strict_20260317_230113_180022"", ""model"": ""qwen/qwen3-32b"", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 3}",795190,,"[""phase3"", ""model-size""]",
pubmedqa_v1_baseline_20260317_230113_168336,2026-03-17T23:11:52.179308,qwen/qwen3-32b,v1_baseline,pubmedqa,100,1,completed,0.71,0.6356,0.4,"{""accuracy"": 0.71, ""f1_macro"": 0.6356, ""per_class"": {""yes"": {""precision"": 0.78, ""recall"": 0.8667, ""f1"": 0.8211, ""support"": 45}, ""no"": {""precision"": 0.8125, ""recall"": 0.65, ""f1"": 0.7222, ""support"": 40}, ""maybe"": {""precision"": 0.3333, ""recall"": 0.4, ""f1"": 0.3636, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""yes"": 39, ""no"": 3, ""maybe"": 3}, ""no"": {""no"": 26, ""maybe"": 9, ""yes"": 5}, ""maybe"": {""maybe"": 6, ""yes"": 6, ""no"": 3}}, ""total"": 100, ""correct"": 71, ""maybe_recall"": 0.4}","{""experiment_id"": ""pubmedqa_v1_baseline_20260317_230113_168336"", ""model"": ""qwen/qwen3-32b"", ""prompt_version"": ""v1_baseline"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 1}",82008,,"[""phase3"", ""model-size""]",
pubmedqa_v3_skeptic_strict_20260317_230113_154589,2026-03-17T23:08:54.720173,llama-3.1-8b-instant,v3_skeptic_strict,pubmedqa,100,3,completed,0.23,0.2169,0.9333,"{""accuracy"": 0.23, ""f1_macro"": 0.2169, ""per_class"": {""yes"": {""precision"": 1.0, ""recall"": 0.0444, ""f1"": 0.0851, ""support"": 45}, ""no"": {""precision"": 0.7778, ""recall"": 0.175, ""f1"": 0.2857, ""support"": 40}, ""maybe"": {""precision"": 0.1647, ""recall"": 0.9333, ""f1"": 0.28, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""maybe"": 40, ""yes"": 2, ""unknown"": 2, ""no"": 1}, ""no"": {""unknown"": 2, ""maybe"": 31, ""no"": 7}, ""maybe"": {""maybe"": 14, ""no"": 1}}, ""total"": 100, ""correct"": 23, ""maybe_recall"": 0.9333}","{""experiment_id"": ""pubmedqa_v3_skeptic_strict_20260317_230113_154589"", ""model"": ""llama-3.1-8b-instant"", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 3}",420289,,"[""phase3"", ""model-size""]",
pubmedqa_v1_baseline_20260317_230113_140938,2026-03-17T23:02:09.821535,llama-3.1-8b-instant,v1_baseline,pubmedqa,100,1,completed,0.6,0.5319,0.2,"{""accuracy"": 0.6, ""f1_macro"": 0.5319, ""per_class"": {""yes"": {""precision"": 0.7209, ""recall"": 0.6889, ""f1"": 0.7045, ""support"": 45}, ""no"": {""precision"": 0.7222, ""recall"": 0.65, ""f1"": 0.6842, ""support"": 40}, ""maybe"": {""precision"": 0.2143, ""recall"": 0.2, ""f1"": 0.2069, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""no"": 5, ""maybe"": 3, ""yes"": 31, ""unknown"": 6}, ""no"": {""no"": 26, ""maybe"": 8, ""yes"": 5, ""unknown"": 1}, ""maybe"": {""yes"": 7, ""maybe"": 3, ""no"": 5}}, ""total"": 100, ""correct"": 60, ""maybe_recall"": 0.2}","{""experiment_id"": ""pubmedqa_v1_baseline_20260317_230113_140938"", ""model"": ""llama-3.1-8b-instant"", ""prompt_version"": ""v1_baseline"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 1}",42222,,"[""phase3"", ""model-size""]",
pubmedqa_v2_structured_20260317_225048_329041,2026-03-17T22:59:50.601804,llama-3.3-70b-versatile,v2_structured,pubmedqa,100,3,completed,0.44,0.4468,0.9333,"{""accuracy"": 0.44, ""f1_macro"": 0.4468, ""per_class"": {""yes"": {""precision"": 0.9048, ""recall"": 0.4222, ""f1"": 0.5758, ""support"": 45}, ""no"": {""precision"": 0.9167, ""recall"": 0.275, ""f1"": 0.4231, ""support"": 40}, ""maybe"": {""precision"": 0.209, ""recall"": 0.9333, ""f1"": 0.3415, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""maybe"": 25, ""no"": 1, ""yes"": 19}, ""no"": {""maybe"": 28, ""yes"": 1, ""no"": 11}, ""maybe"": {""maybe"": 14, ""yes"": 1}}, ""total"": 100, ""correct"": 44, ""maybe_recall"": 0.9333}","{""experiment_id"": ""pubmedqa_v2_structured_20260317_225048_329041"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v2_structured"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 3}",316044,,"[""phase2"", ""prompt-ablation""]",
pubmedqa_v2_structured_20260317_225048_314624,2026-03-17T22:53:09.804157,llama-3.3-70b-versatile,v2_structured,pubmedqa,100,1,completed,0.68,0.5182,0.0,"{""accuracy"": 0.68, ""f1_macro"": 0.5182, ""per_class"": {""yes"": {""precision"": 0.717, ""recall"": 0.8444, ""f1"": 0.7755, ""support"": 45}, ""no"": {""precision"": 0.8108, ""recall"": 0.75, ""f1"": 0.7792, ""support"": 40}, ""maybe"": {""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""yes"": 38, ""no"": 2, ""unknown"": 5}, ""no"": {""no"": 30, ""unknown"": 2, ""yes"": 7, ""maybe"": 1}, ""maybe"": {""yes"": 8, ""unknown"": 2, ""no"": 5}}, ""total"": 100, ""correct"": 68, ""maybe_recall"": 0.0}","{""experiment_id"": ""pubmedqa_v2_structured_20260317_225048_314624"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v2_structured"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 1}",80135,,"[""phase2"", ""prompt-ablation""]",
pubmedqa_v3_skeptic_strict_20260317_223316_053102,2026-03-17T22:48:28.048082,llama-3.3-70b-versatile,v3_skeptic_strict,pubmedqa,100,3,completed,0.15,0.087,1.0,"{""accuracy"": 0.15, ""f1_macro"": 0.087, ""per_class"": {""yes"": {""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""support"": 45}, ""no"": {""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""support"": 40}, ""maybe"": {""precision"": 0.15, ""recall"": 1.0, ""f1"": 0.2609, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""maybe"": 45}, ""no"": {""maybe"": 40}, ""maybe"": {""maybe"": 15}}, ""total"": 100, ""correct"": 15, ""maybe_recall"": 1.0}","{""experiment_id"": ""pubmedqa_v3_skeptic_strict_20260317_223316_053102"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 3}",363829,,"[""phase1"", ""pubmedqa-core""]",
pubmedqa_v1_baseline_20260317_223316_041167,2026-03-17T22:40:40.768968,llama-3.3-70b-versatile,v1_baseline,pubmedqa,100,3,completed,0.7,0.6166,0.2,"{""accuracy"": 0.7, ""f1_macro"": 0.6166, ""per_class"": {""yes"": {""precision"": 0.8049, ""recall"": 0.7333, ""f1"": 0.7674, ""support"": 45}, ""no"": {""precision"": 0.7727, ""recall"": 0.85, ""f1"": 0.8095, ""support"": 40}, ""maybe"": {""precision"": 0.4286, ""recall"": 0.2, ""f1"": 0.2727, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""yes"": 33, ""no"": 5, ""unknown"": 3, ""maybe"": 4}, ""no"": {""no"": 34, ""unknown"": 2, ""yes"": 4}, ""maybe"": {""unknown"": 3, ""maybe"": 3, ""no"": 5, ""yes"": 4}}, ""total"": 100, ""correct"": 70, ""maybe_recall"": 0.2}","{""experiment_id"": ""pubmedqa_v1_baseline_20260317_223316_041167"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v1_baseline"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 3}",142705,,"[""phase1"", ""pubmedqa-core""]",
